False,data/video_1_m.mp4,2.0,60
False,data/video_1_m.mp4,25.0,750
False,data/video_1_m.mp4,69.0,2070
False,data/video_2_m.mp4,4.0,120
False,data/video_2_m.mp4,41.0,1230
False,data/video_2_m.mp4,64.0,1920
False,data/video_2_m.mp4,86.0,2580
False,data/video_3_m.mp4,3.0,90
False,data/video_3_m.mp4,25.0,750
False,data/video_3_m.mp4,46.0,1380
False,data/video_4_m.mp4,1.0,30
False,data/video_4_m.mp4,22.0,660
False,data/video_4_m.mp4,46.0,1380
True,data/image_0.png,-1,-1
True,data/image_1.png,-1,-1
True,data/image_2.png,-1,-1
True,data/image_19.png,-1,-1
True,data/image_58.png,-1,-1
